Relation,AUROC,AUPRC,AP@50
C0005779,0.96262796868531,0.9285922499841744,0.8324054157938773
C0011991,0.9437027367939911,0.9050953997601924,0.5044319071442704
C0011860,0.9596630168257545,0.9385848168290454,0.928206726586472
C0038395,0.9601079823686072,0.9435408685527441,0.9729515216137484
C1145670,0.9485625638868118,0.9132403715851684,0.809695737377056
C0012833,0.9465635566776458,0.9087134116401631,0.6387751699858784
C0520474,0.9623704109690844,0.9429096616811923,0.9542874559950598
C0021400,0.9656347566574839,0.9490566187047604,0.9316825599000776
C0024902,0.9817631488962906,0.9756507291954505,1.0
C0043144,0.9637953853156401,0.9412468842014089,0.9287188176248788
C0085682,0.976938156301115,0.9722320442259562,1.0
C0020676,0.9734713138557107,0.9609319690036661,1.0
C0151825,0.9654265873015873,0.948494849982341,0.910015893233411
C0013604,0.9410674560649627,0.8983033203753256,0.7269596307278376
C0042571,0.9567356195068568,0.9320346984262465,0.8856154677583712
C0009782,0.9654310703873386,0.9614906365022069,0.9745739334993182
C0008325,0.9675654326918635,0.9440219009030199,0.9425619966310506
C0013144,0.9462108538993599,0.9060201350080739,0.6208040841207929
C0013362,0.9527546041805888,0.9240981842099969,0.8763842833552267
C0031046,0.9738811221617564,0.9665950534817354,1.0
C0043246,0.9806125589663381,0.9763336619644251,1.0
C0151908,0.9599927082862076,0.9363672422578793,0.8786016622726055
C0231807,0.9680233646209078,0.9481684828448944,0.910015893233411
C0026946,0.9640534793130237,0.9350132120684764,0.7787972790369834
C0162297,0.9524475466778876,0.9279159236492242,0.96
C0235946,0.9609119238108575,0.9389914777762729,0.8814090430866847
C0030554,0.9492217611935982,0.9147371246076842,0.8152376617409819
C0040034,0.9444971475064217,0.9141997790252813,0.7267302396003127
C0032285,0.9442636357832926,0.9047813426125381,0.520675506633171
C0151723,0.9714245202114249,0.9557484455630101,0.9204060554549186
C0036983,0.963904529106354,0.9406532781829738,0.9136576896772161
C0025286,0.9825602629656683,0.9709448102925945,0.9382246736403256
C0027121,0.9594424004850135,0.9460618469836337,0.9723800930423198
C0027022,0.9704142011834319,0.9661474937035051,0.8780887606142671
C0013384,0.9517043722178182,0.9210896936269716,0.8586894115603547
C0016436,0.9555822328931571,0.9333197226052752,0.9152910633014385
C0004610,0.9689512904085792,0.9579621981650805,0.9678450282984528
C0003873,0.9633159428590178,0.9509706118041364,0.9729515216137484
C0575090,0.9548265367113303,0.9268871566862632,0.8870428330759803
C0442874,0.9504303888073657,0.9161608854334778,0.645605189042512
C0678222,0.9645311470740089,0.9478528137861414,0.973507077169304
C0700594,0.9736466919135665,0.9638500347398192,0.9740476177098445
C0011849,0.9588846366836755,0.9303713851848636,0.7838509246330618
C0024141,0.968479331330017,0.9565808608781816,1.0
C0042029,0.950452680491837,0.9180910601976511,0.9162988512140751
C0027497,0.9410697043083915,0.9026550643511789,0.664286863896814
C0262385,0.9697761362100806,0.9611468334846702,0.9533515216137485
C0002622,0.9571968210854586,0.9327772802027163,0.910015893233411
C0917801,0.9529673966548319,0.9219401802801023,0.8169555026267581
C0020615,0.9528833405912807,0.9174688334734422,0.7240372954647702
C0011168,0.9577642280152662,0.9277044885700299,0.6607406342644091
C0008033,0.9433388422720023,0.9053520079015592,0.7420956842092312
C0011615,0.9418095004382961,0.8992642772850143,0.6678574875073273
C0042487,0.952731852601836,0.9162171699908195,0.7400944423626492
C0017152,0.9674711065087164,0.9455499255435925,0.8216753466566652
C0009806,0.9634096646973226,0.9435170411720362,0.9248245267685512
C0036689,0.9724988682661838,0.9589720929231664,0.9619706863762846
C0026650,0.9537569015004215,0.9187318417502073,0.7915313728544707
C0042909,0.9799697656840514,0.975169704159061,0.967104287557712
C0038362,0.9532767839646147,0.9266133947867444,0.897072093517028
C0029408,0.9619555090114936,0.9300413569299164,0.6844164070039984
C0037315,0.9613077089754322,0.9326363461064084,0.8093582962467576
C0033687,0.9649974863544959,0.9463823345708597,0.9373551084229343
C0012569,0.9689562576589057,0.948859047778362,0.9496471922348045
C0035309,0.9642465401759667,0.9485891631288806,0.9269952583127761
C0016977,0.9742517998453025,0.9660455629545986,0.9723800930423198
C0013473,0.9676139841182698,0.9564025299095528,1.0
C0004144,0.9656869037216622,0.9456106914735645,0.8792894929604361
C0018681,0.9474941270693495,0.9107562193766209,0.6624542295119149
C0008350,0.9598761804326615,0.9380906091204063,1.0
C0027051,0.9516962822823628,0.9201684352095943,0.7058446614681596
C0030794,0.9796539792387544,0.9729010032657252,0.9745739334993182
C0004238,0.9550736931090682,0.9174363222466504,0.587106065414722
C0005697,0.9751299621928167,0.9650594535034706,0.9485952583127761
C0011606,0.9510649750096117,0.9341400048194093,0.9120882853165065
C0020517,0.9432795237686713,0.9112689676827054,0.8337028823268042
C0011175,0.9541236534086236,0.9202878993841255,0.7868751228360239
C0030193,0.9468710281682742,0.909379723475624,0.5709426541275091
C0152031,0.946289847624979,0.9121319387031375,0.7954452265977813
C0004604,0.9543481210830984,0.9264741196962041,0.8898454361485819
C0030196,0.9532929314074164,0.9210772908186123,0.6790794661670576
C0039239,0.9615020187168895,0.937276281266584,0.8722475151825521
C0018808,0.9633762573591867,0.9443212745776297,0.9711857971421415
C0018524,0.9572875093141708,0.9307640934987889,0.9629230673286656
C0039070,0.9499219947282123,0.9156346294165832,0.7993578015350654
C0019079,0.9614471243042672,0.9317093731177383,0.7716714377208413
C0031039,0.9575831123748838,0.9228392508559026,0.6927982301299306
C0035854,0.9845892230842811,0.9818136133348704,1.0
C0011882,0.9788169359756669,0.9725037031187133,1.0
C0000731,0.9553764976286933,0.928688912700792,0.8829842215698495
C0009676,0.9453809453116483,0.9114941072235649,0.7699958826018621
C0005758,0.9576817163236966,0.9414072704675472,0.9545820967646245
C0043117,0.9719547634886734,0.9694943898523274,0.98
C0344232,0.9570178409269742,0.9282635887919216,0.8184938185910822
C0018944,0.9581000870056684,0.9269148932813016,0.7800476797002344
C0019360,0.9694108872873346,0.9507512366466504,0.910015893233411
C0221245,0.9515338882282997,0.8850759794917916,0.7464849293550024
C0025345,0.9661259055198449,0.9592004433085275,0.9482127369847108
C0003850,0.9598893499308437,0.9387688235182039,0.9090250101877395
C0011848,0.9586693548387096,0.9467477396588498,0.9413131401622747
C0004096,0.9621959017876892,0.9353682154201521,0.788726301375705
C0000833,0.958471155493763,0.9311592491617147,0.8734956445312879
C0030446,0.9680504098194876,0.951543418504198,0.9396558254405951
C0036974,0.9535032926753367,0.9253413956647273,0.8158638035982245
C0026764,0.9756839525296944,0.9595836443681328,0.9106405246769564
C0003123,0.9463171427153717,0.8996278746843821,0.6620519643077023
C0034212,0.9512099738931217,0.9246826499499292,0.8938832593384491
C0037199,0.9668912418076513,0.9478752157715946,0.910015893233411
C0575081,0.9524945717744857,0.9142274897413254,0.6443832258110644
C0162283,0.9729911314162859,0.9684305054249877,1.0
C0152025,0.963709304767906,0.9412608527308521,0.8888003139952406
C0020456,0.9415893746434529,0.8991836588669047,0.5367220795146853
C0033860,0.9658178743053505,0.9304324709874412,0.7777291478380473
C0162429,0.9685587084386772,0.943690994827916,0.8899503802509056
C0002871,0.9410246263365097,0.9010574260638422,0.5691263069638155
C0006277,0.9640596851193719,0.9383142058863371,0.8405794878915518
C0263912,0.9754969065706006,0.9653216975367912,1.0
C0042510,0.9620119047199996,0.9369949373252581,0.8637626666977036
C0010200,0.9479982986782656,0.9088065273840749,0.7749132002179566
C0009421,0.9582817698015724,0.9332378565373854,0.8778894115603548
C0243026,0.950818199147024,0.9189350926433958,0.7826526999933502
C0027651,0.9755859375,0.9668914393484271,0.9599180547973373
C0019158,0.9392611312220629,0.8939022996615262,0.6934628307385027
C0035455,0.9778153908622274,0.9638510981722129,0.9134661750505422
C0242422,0.9764781813618273,0.9755662092897581,1.0
C0022104,0.9744120422296997,0.9661027669516894,1.0
C0151766,0.9565552739890243,0.9346469908014494,0.9417264329939613
C0015469,0.9460795656130933,0.9051131368296481,0.8234515432519188
