Relation,AUROC,AUPRC,AP@50
C0005779,0.48226786856863263,0.4986560732546139,0.3629418855181201
C0011991,0.49471408040293763,0.49287707827542715,0.12897655212878328
C0011860,0.4925574930957876,0.4962974902781879,0.2549979850903065
C0038395,0.5342021266050317,0.5492941277918171,0.48624398991056006
C1145670,0.5030863677159232,0.5118458444288428,0.4657775920464997
C0012833,0.5166094944204116,0.5125980700185309,0.23251253787240592
C0520474,0.5038888321195005,0.5164010573841451,0.37149611089683643
C0021400,0.49748622589531677,0.49747126907684547,0.2345778183206403
C0024902,0.5209533820493661,0.5098994665636196,0.24786296877564948
C0043144,0.5031322432687931,0.49832235692079146,0.2854335501938985
C0085682,0.47671964939005357,0.5019737972482139,0.3530807312682283
C0020676,0.5048404712002222,0.4999119900724162,0.16884946729201122
C0151825,0.5082043650793651,0.5076801706027555,0.2610839935256017
C0013604,0.48380707841285664,0.49785701366104596,0.44894438687025384
C0042571,0.48866959064327486,0.503381816272571,0.2655600228579294
C0009782,0.5214493960849645,0.5221244685608111,0.2953851480109461
C0008325,0.5235054184643527,0.5156670339165198,0.2696180322783177
C0013144,0.49723141820287214,0.5008281947852502,0.29166635098281063
C0013362,0.5153243431067915,0.5159252069481395,0.43136319652333893
C0031046,0.48950319009194976,0.4793022670111189,0.16061268797449446
C0043246,0.49892902682772095,0.4989392528091075,0.2089479186720676
C0151908,0.48632803663953117,0.5025156577617016,0.2855001398056482
C0231807,0.4688719469483653,0.48082668174920096,0.25525687746478615
C0026946,0.4995025960017661,0.5158709019695474,0.43572925323833417
C0162297,0.470307390631145,0.492411701785146,0.3555680282241322
C0235946,0.4922883002748551,0.49426836587561085,0.21343584102572577
C0030554,0.5271506021483612,0.5293072055867462,0.35886771318304655
C0040034,0.48622474433383867,0.4969243158901925,0.3818111731513475
C0032285,0.49009215265649947,0.490295126651567,0.31887301681294916
C0151723,0.4813055852617697,0.48569330675452016,0.1595737279627162
C0036983,0.5327134520383077,0.5357417280376966,0.4579742475446962
C0025286,0.48283418553688817,0.49395419418565856,0.25358506209009346
C0027121,0.4917406506158178,0.49942123469336497,0.2624746155543366
C0027022,0.422707100591716,0.5050694294555035,0.24326709921049655
C0013384,0.49979837480255485,0.49503008289443173,0.18449146791559567
C0016436,0.505825859755667,0.5409272777305794,0.3713065091156117
C0004610,0.4761289462594921,0.48788378370289676,0.30824401406647906
C0003873,0.49830420503458706,0.5093361968085519,0.39126669473957576
C0575090,0.5126440690737322,0.516426636583143,0.35357219097855075
C0442874,0.4766789465660707,0.4849476396322712,0.26906286119762945
C0678222,0.4915923374103153,0.49279195368861517,0.24993291926988748
C0700594,0.5240989084428603,0.5176816755483191,0.2770062937255904
C0011849,0.5065977166646889,0.5151305179730467,0.3384951818207849
C0024141,0.534456200600995,0.5229913676975296,0.3093859907871076
C0042029,0.5060088060752428,0.5122258807419078,0.321168039131491
C0027497,0.5007242298743917,0.5038961974194907,0.2624303314975356
C0262385,0.5297509121210756,0.5283266568376819,0.3283403930066018
C0002622,0.49810874704491725,0.5085411577377039,0.3639630879269632
C0917801,0.5080311266115771,0.5001878622429685,0.2764211529287084
C0020615,0.48333801067724713,0.4843211652296383,0.1280369376541829
C0011168,0.49880548852307965,0.5046355643318547,0.3642923073925731
C0008033,0.505640115576087,0.5086704139042126,0.2649900432426342
C0011615,0.5176383483102046,0.5036072330896719,0.13241094179807525
C0042487,0.5117087361968936,0.5134513867834554,0.3794063128033842
C0017152,0.4993027045597165,0.5052269730962682,0.2803870322422528
C0009806,0.495553228850119,0.49519279181816667,0.3034674700564018
C0036689,0.5157028066998641,0.5374288062439618,0.3796247998783751
C0026650,0.5002655828935378,0.5061086073622956,0.2982918611497466
C0042909,0.487087427563618,0.5281288163175688,0.33656274217467186
C0038362,0.5087658520198203,0.5158778684566069,0.32065891109368555
C0029408,0.49574860988953656,0.4930151760895775,0.20334305701912808
C0037315,0.5068159671119078,0.5097251799211144,0.3216716276993
C0033687,0.4973786268313703,0.49368699976750585,0.219072859749734
C0012569,0.5134082796099952,0.5174220065279291,0.38086825502986527
C0035309,0.5197320824289948,0.5136902010400899,0.25811983672597916
C0016977,0.48221191850334466,0.48867561784059954,0.19202899877982724
C0013473,0.5150267015858089,0.5155790241563555,0.274114193179221
C0004144,0.49804475275062826,0.5011910726405544,0.2707516132259683
C0018681,0.4968230496633719,0.5009249539723559,0.40068309862764173
C0008350,0.5055099871856941,0.49812361041698194,0.14578185023540688
C0027051,0.49967126890203817,0.5062475965808908,0.36996295615902897
C0030794,0.4774134948096886,0.4887201901287592,0.2452848322073768
C0004238,0.5009392905225587,0.5039603668076584,0.25451128624529884
C0005697,0.5166587901701323,0.4969270386244108,0.17897828294873594
C0011606,0.48641291810841986,0.489959233743317,0.21180700862434612
C0020517,0.505344416165429,0.5101693378503696,0.285232575175962
C0011175,0.4896036292864779,0.49424901104403496,0.2176235703269363
C0030193,0.4853013777769997,0.4887321174307975,0.22719103026204884
C0152031,0.514302696904072,0.5066070838989856,0.24531475074290174
C0004604,0.5018744733511595,0.4994923697784592,0.2379996784786931
C0030196,0.5090355776757658,0.5156476389185263,0.4000615816321789
C0039239,0.5124572335410394,0.529514021592449,0.5373039922055125
C0018808,0.5176316257018456,0.5282900178582133,0.41201821295187513
C0018524,0.47811552633996474,0.4819578913541643,0.2039240534863319
