job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.type,train.optimizer,train.loss,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,distmult.entity_embedder.regularize_weight,distmult.relation_embedder.regularize_weight,distmult.entity_embedder.dropout,distmult.relation_embedder.dropout
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0422720008621791,0,fcf4117c,512,negative_sampling,Adamax,kl,0.0033191818579780515,9,64,lp,False,2.291955701264697e-13,2.042348182011728e-13,0.42711868695914745,0.10019855201244354
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0431531254701155,1,483fd75c,256,1vsAll,AdamW,se,0.0006656776610925722,4,32,lp,True,8.595111818371843e-17,0.0032211805511770703,0.3128610975109041,0.3342108796350658
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0052274800786909,2,0416ea9e,128,negative_sampling,Adam,bce,0.02465207596943842,8,256,lp,False,3.735250792002936e-08,1.1146688433763332e-17,0.06717623537406325,0.17905125161632895
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.0021752405285232,3,c994b69c,128,1vsAll,RMSprop,se,0.055299415137681156,10,256,lp,True,5.4203518168381357e-11,3.165705933953658e-20,0.29662754526361823,0.008682558313012123
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.00837200396301,4,1605e208,256,negative_sampling,Adadelta,kl,0.001694960518225662,6,64,,False,2.0864599112694384e-18,3.73062793547692e-06,0.04214599123224616,0.47805122658610344
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0403780387820889,5,3f8973c4,512,1vsAll,AdamW,bce,0.007213131414540305,7,32,lp,True,2.808642918575389e-15,5.953271720257439e-15,0.21695090271532536,0.21206405339762568
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0403132489649729,6,089c9c7f,128,KvsAll,Adadelta,se,0.7369787382966139,3,128,lp,False,6.497012832546082e-05,4.2075083747695147e-10,0.4636194799095392,0.30495083099231124
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.0380762313035674,7,ae7b3567,128,1vsAll,RMSprop,bce,0.01193626155893054,6,64,,True,0.0007012733845787509,4.6606330748697195e-17,0.25522487377747893,0.35589822102338076
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0433291813432889,8,59b1c688,512,KvsAll,Adadelta,se,0.44250026699624484,10,512,lp,False,2.4977564401711624e-11,0.011863973654194377,0.001765658613294363,0.13776688557118177
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0404708785610289,9,ffb7be44,512,KvsAll,AdamW,kl,0.09205739879774685,3,256,lp,True,1.0518909510867686e-17,1.1567795842813606e-11,0.23907057009637356,0.4352562469430268
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0410245765160132,10,a6e4ba09,128,KvsAll,Adam,kl,0.0010237289055939536,7,32,lp,False,2.629928811960582e-07,5.340814581834212e-07,0.4847168084233999,0.09064302081242204
