[52d34630]   size: 5175638
[52d34630]   split: train
[52d34630]   timestamp: 1692578274.4507034
[52d34630]   type: 1vsAll
[52d34630] Finished epoch 123.
[52d34630] Saving checkpoint to /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154100-complex_non-naive/00058/checkpoint_00123.pt...
[52d34630] Removing old checkpoint /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154100-complex_non-naive/00058/checkpoint_00122.pt...
[52d34630] Starting epoch 124...

[52d34630]   batch     0/40434, avg_loss 1.2799E+01, penalty 1.3725E-12, cost 1.2799E+01, time   0.01s[K
[52d34630]   batch     1/40434, avg_loss 1.3095E+01, penalty 1.3722E-12, cost 1.3095E+01, time   0.01s[K
[52d34630]   batch     2/40434, avg_loss 1.2340E+01, penalty 1.1514E-12, cost 1.2340E+01, time   0.01s[K
[52d34630]   batch     3/40434, avg_loss 1.2987E+01, penalty 1.3086E-12, cost 1.2987E+01, time   0.01s[K
[52d34630]   batch     4/40434, avg_loss 1.1813E+01, penalty 9.2868E-13, cost 1.1813E+01, time   0.01s[K
[52d34630]   batch     5/40434, avg_loss 1.2397E+01, penalty 1.4054E-12, cost 1.2397E+01, time   0.01s[K
[52d34630]   batch     6/40434, avg_loss 1.2082E+01, penalty 1.0223E-12, cost 1.2082E+01, time   0.01s[K
[52d34630]   batch     7/40434, avg_loss 1.2660E+01, penalty 1.2144E-12, cost 1.2660E+01, time   0.01s[K
[52d34630]   batch     8/40434, avg_loss 1.2225E+01, penalty 1.1198E-12, cost 1.2225E+01, time   0.01s[K
[52d34630]   batch     9/40434, avg_loss 1.2180E+01, penalty 1.3096E-12, cost 1.2180E+01, time   0.01s[K
[52d34630]   batch    10/40434, avg_loss 1.2474E+01, penalty 1.3417E-12, cost 1.2474E+01, time   0.01s[K
[52d34630]   batch    11/40434, avg_loss 1.1799E+01, penalty 1.0239E-12, cost 1.1799E+01, time   0.01s[K
[52d34630]   batch    12/40434, avg_loss 1.2096E+01, penalty 1.1504E-12, cost 1.2096E+01, time   0.01s[K
[52d34630]   batch    13/40434, avg_loss 1.2258E+01, penalty 1.3423E-12, cost 1.2258E+01, time   0.01s[K
[52d34630]   batch    14/40434, avg_loss 1.2395E+01, penalty 1.1206E-12, cost 1.2395E+01, time   0.01s[K
[52d34630]   batch    15/40434, avg_loss 1.4105E+01, penalty 1.5941E-12, cost 1.4105E+01, time   0.01s[K
[52d34630]   batch    16/40434, avg_loss 1.2069E+01, penalty 1.1833E-12, cost 1.2069E+01, time   0.01s[K
[52d34630]   batch    17/40434, avg_loss 1.2573E+01, penalty 1.2156E-12, cost 1.2573E+01, time   0.01s[K
[52d34630]   batch    18/40434, avg_loss 1.1876E+01, penalty 9.5845E-13, cost 1.1876E+01, time   0.01s[K
[52d34630]   batch    19/40434, avg_loss 1.2399E+01, penalty 1.2137E-12, cost 1.2399E+01, time   0.01s[K
[52d34630]   batch    20/40434, avg_loss 1.2442E+01, penalty 1.3711E-12, cost 1.2442E+01, time   0.01s[K
[52d34630]   batch    21/40434, avg_loss 1.1719E+01, penalty 9.6029E-13, cost 1.1719E+01, time   0.01s[K
[52d34630]   batch    22/40434, avg_loss 1.2685E+01, penalty 1.4994E-12, cost 1.2685E+01, time   0.01s[K
[52d34630]   batch    23/40434, avg_loss 1.2041E+01, penalty 9.9287E-13, cost 1.2041E+01, time   0.01s[K
[52d34630]   batch    24/40434, avg_loss 1.1981E+01, penalty 1.2143E-12, cost 1.1981E+01, time   0.01s[K
[52d34630]   batch    25/40434, avg_loss 1.2129E+01, penalty 1.1179E-12, cost 1.2129E+01, time   0.01s[K
[52d34630]   batch    26/40434, avg_loss 1.2551E+01, penalty 9.9262E-13, cost 1.2551E+01, time   0.01s[K
[52d34630]   batch    27/40434, avg_loss 1.2170E+01, penalty 1.2472E-12, cost 1.2170E+01, time   0.01s[K
[52d34630]   batch    28/40434, avg_loss 1.2457E+01, penalty 1.2128E-12, cost 1.2457E+01, time   0.01s[K
[52d34630]   batch    29/40434, avg_loss 1.2279E+01, penalty 1.2461E-12, cost 1.2279E+01, time   0.01s[K
[52d34630]   batch    30/40434, avg_loss 1.2454E+01, penalty 1.4345E-12, cost 1.2454E+01, time   0.01s[K
[52d34630]   batch    31/40434, avg_loss 1.2121E+01, penalty 1.1502E-12, cost 1.2121E+01, time   0.01s[K
[52d34630]   batch    32/40434, avg_loss 1.1921E+01, penalty 8.9558E-13, cost 1.1921E+01, time   0.01s[K
[52d34630]   batch    33/40434, avg_loss 1.2486E+01, penalty 1.3719E-12, cost 1.2486E+01, time   0.01s[K
[52d34630]   batch    34/40434, avg_loss 1.2581E+01, penalty 1.2468E-12, cost 1.2581E+01, time   0.01s[K
[52d34630]   batch    35/40434, avg_loss 1.2482E+01, penalty 1.4355E-12, cost 1.2482E+01, time   0.01s[K
[52d34630]   batch    36/40434, avg_loss 1.2730E+01, penalty 1.5304E-12, cost 1.2730E+01, time   0.01s[K
[52d34630]   batch    37/40434, avg_loss 1.2076E+01, penalty 1.1191E-12, cost 1.2076E+01, time   0.01s[K
[52d34630]   batch    38/40434, avg_loss 1.2366E+01, penalty 1.2770E-12, cost 1.2366E+01, time   0.01s[K
[52d34630]   batch    39/40434, avg_loss 1.2739E+01, penalty 1.1832E-12, cost 1.2739E+01, time   0.01s[K
[52d34630]   batch    40/40434, avg_loss 1.2267E+01, penalty 1.1498E-12, cost 1.2267E+01, time   0.01s[K
[52d34630]   batch    41/40434, avg_loss 1.2338E+01, penalty 1.2140E-12, cost 1.2338E+01, time   0.01s[K
