[0fa6a4e3]   size: 215652
[0fa6a4e3]   split: valid
[0fa6a4e3]   timestamp: 1693212627.2210078
[0fa6a4e3]   type: entity_ranking
[0fa6a4e3] Finished evaluating on valid split.
[792063f5] Saving checkpoint to kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_00235.pt...
[792063f5] Removing old checkpoint kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_00234.pt...
[792063f5] Saving checkpoint to kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_best.pt...
[792063f5] Starting epoch 236...

[792063f5]   batch     0/40434, avg_loss 1.6112E+01, penalty 1.6208E-07, cost 1.6112E+01, time   0.01s[K
[792063f5]   batch     1/40434, avg_loss 1.5894E+01, penalty 1.5040E-07, cost 1.5894E+01, time   0.01s[K
[792063f5]   batch     2/40434, avg_loss 1.6040E+01, penalty 1.9556E-07, cost 1.6040E+01, time   0.01s[K
[792063f5]   batch     3/40434, avg_loss 1.5910E+01, penalty 1.6582E-07, cost 1.5910E+01, time   0.01s[K
[792063f5]   batch     4/40434, avg_loss 1.5649E+01, penalty 1.4273E-07, cost 1.5649E+01, time   0.01s[K
[792063f5]   batch     5/40434, avg_loss 1.5495E+01, penalty 1.3573E-07, cost 1.5495E+01, time   0.01s[K
[792063f5]   batch     6/40434, avg_loss 1.6045E+01, penalty 1.9552E-07, cost 1.6045E+01, time   0.01s[K
[792063f5]   batch     7/40434, avg_loss 1.6056E+01, penalty 1.6549E-07, cost 1.6056E+01, time   0.01s[K
[792063f5]   batch     8/40434, avg_loss 1.5661E+01, penalty 1.5809E-07, cost 1.5661E+01, time   0.01s[K
[792063f5]   batch     9/40434, avg_loss 1.5564E+01, penalty 1.2438E-07, cost 1.5564E+01, time   0.01s[K
[792063f5]   batch    10/40434, avg_loss 1.5402E+01, penalty 1.4697E-07, cost 1.5402E+01, time   0.01s[K
[792063f5]   batch    11/40434, avg_loss 1.5408E+01, penalty 1.4321E-07, cost 1.5408E+01, time   0.01s[K
[792063f5]   batch    12/40434, avg_loss 1.6021E+01, penalty 1.6922E-07, cost 1.6021E+01, time   0.01s[K
[792063f5]   batch    13/40434, avg_loss 1.5646E+01, penalty 1.3910E-07, cost 1.5646E+01, time   0.01s[K
[792063f5]   batch    14/40434, avg_loss 1.5720E+01, penalty 1.5442E-07, cost 1.5720E+01, time   0.01s[K
[792063f5]   batch    15/40434, avg_loss 1.5660E+01, penalty 1.3949E-07, cost 1.5660E+01, time   0.01s[K
[792063f5]   batch    16/40434, avg_loss 1.6231E+01, penalty 1.8425E-07, cost 1.6231E+01, time   0.01s[K
[792063f5]   batch    17/40434, avg_loss 1.5759E+01, penalty 1.5436E-07, cost 1.5759E+01, time   0.01s[K
[792063f5]   batch    18/40434, avg_loss 1.5453E+01, penalty 1.5427E-07, cost 1.5453E+01, time   0.01s[K
[792063f5]   batch    19/40434, avg_loss 1.6293E+01, penalty 1.6547E-07, cost 1.6293E+01, time   0.01s[K
[792063f5]   batch    20/40434, avg_loss 1.6194E+01, penalty 2.0687E-07, cost 1.6194E+01, time   0.01s[K
[792063f5]   batch    21/40434, avg_loss 1.5588E+01, penalty 1.3578E-07, cost 1.5588E+01, time   0.01s[K
[792063f5]   batch    22/40434, avg_loss 1.5397E+01, penalty 1.4658E-07, cost 1.5397E+01, time   0.01s[K
[792063f5]   batch    23/40434, avg_loss 1.5808E+01, penalty 1.7699E-07, cost 1.5808E+01, time   0.01s[K
[792063f5]   batch    24/40434, avg_loss 1.6057E+01, penalty 1.4616E-07, cost 1.6057E+01, time   0.01s[K
[792063f5]   batch    25/40434, avg_loss 1.5693E+01, penalty 1.3578E-07, cost 1.5693E+01, time   0.01s[K
[792063f5]   batch    26/40434, avg_loss 1.6044E+01, penalty 1.6131E-07, cost 1.6044E+01, time   0.01s[K
[792063f5]   batch    27/40434, avg_loss 1.5588E+01, penalty 1.4327E-07, cost 1.5588E+01, time   0.01s[K
[792063f5]   batch    28/40434, avg_loss 1.5650E+01, penalty 1.6197E-07, cost 1.5650E+01, time   0.01s[K
[792063f5]   batch    29/40434, avg_loss 1.5423E+01, penalty 1.4673E-07, cost 1.5423E+01, time   0.01s[K
[792063f5]   batch    30/40434, avg_loss 1.5644E+01, penalty 1.4279E-07, cost 1.5644E+01, time   0.01s[K
[792063f5]   batch    31/40434, avg_loss 1.5763E+01, penalty 1.7297E-07, cost 1.5763E+01, time   0.01s[K
[792063f5]   batch    32/40434, avg_loss 1.5680E+01, penalty 1.5048E-07, cost 1.5680E+01, time   0.01s[K
[792063f5]   batch    33/40434, avg_loss 1.5775E+01, penalty 1.3129E-07, cost 1.5775E+01, time   0.01s[K
[792063f5]   batch    34/40434, avg_loss 1.5927E+01, penalty 1.6569E-07, cost 1.5927E+01, time   0.01s[K
[792063f5]   batch    35/40434, avg_loss 1.5145E+01, penalty 1.1995E-07, cost 1.5145E+01, time   0.01s[K
[792063f5]   batch    36/40434, avg_loss 1.6276E+01, penalty 1.9538E-07, cost 1.6276E+01, time   0.01s[K
