[98972361]   size: 5175638
[98972361]   split: train
[98972361]   timestamp: 1693212599.0646005
[98972361]   type: 1vsAll
[98972361] Finished epoch 8.
[98972361] Saving checkpoint to kge/local/experiments/20230810-154100-simple_non-naive/00067/checkpoint_00008.pt...
[98972361] Removing old checkpoint kge/local/experiments/20230810-154100-simple_non-naive/00067/checkpoint_00007.pt...
[98972361] Starting epoch 9...

[98972361]   batch     0/40434, avg_loss 1.6210E+01, penalty 6.9024E-08, cost 1.6210E+01, time   0.01s[K
[98972361]   batch     1/40434, avg_loss 1.5729E+01, penalty 6.0731E-08, cost 1.5729E+01, time   0.01s[K
[98972361]   batch     2/40434, avg_loss 1.6110E+01, penalty 7.1617E-08, cost 1.6110E+01, time   0.01s[K
[98972361]   batch     3/40434, avg_loss 1.5747E+01, penalty 6.6074E-08, cost 1.5747E+01, time   0.01s[K
[98972361]   batch     4/40434, avg_loss 1.6040E+01, penalty 6.7338E-08, cost 1.6040E+01, time   0.01s[K
[98972361]   batch     5/40434, avg_loss 1.6282E+01, penalty 6.7644E-08, cost 1.6282E+01, time   0.01s[K
[98972361]   batch     6/40434, avg_loss 1.6303E+01, penalty 7.3832E-08, cost 1.6303E+01, time   0.01s[K
[98972361]   batch     7/40434, avg_loss 1.6270E+01, penalty 6.7701E-08, cost 1.6270E+01, time   0.01s[K
[98972361]   batch     8/40434, avg_loss 1.6153E+01, penalty 6.6828E-08, cost 1.6153E+01, time   0.01s[K
[98972361]   batch     9/40434, avg_loss 1.5454E+01, penalty 6.0272E-08, cost 1.5454E+01, time   0.01s[K
[98972361]   batch    10/40434, avg_loss 1.6070E+01, penalty 6.8888E-08, cost 1.6070E+01, time   0.01s[K
[98972361]   batch    11/40434, avg_loss 1.6289E+01, penalty 6.8333E-08, cost 1.6289E+01, time   0.01s[K
[98972361]   batch    12/40434, avg_loss 1.5656E+01, penalty 6.4217E-08, cost 1.5656E+01, time   0.01s[K
[98972361]   batch    13/40434, avg_loss 1.5905E+01, penalty 6.2195E-08, cost 1.5905E+01, time   0.01s[K
[98972361]   batch    14/40434, avg_loss 1.6061E+01, penalty 6.8116E-08, cost 1.6061E+01, time   0.01s[K
[98972361]   batch    15/40434, avg_loss 1.6093E+01, penalty 6.7078E-08, cost 1.6093E+01, time   0.01s[K
[98972361]   batch    16/40434, avg_loss 1.5916E+01, penalty 6.5996E-08, cost 1.5916E+01, time   0.01s[K
[98972361]   batch    17/40434, avg_loss 1.6394E+01, penalty 7.6671E-08, cost 1.6394E+01, time   0.01s[K
[98972361]   batch    18/40434, avg_loss 1.6302E+01, penalty 6.5503E-08, cost 1.6302E+01, time   0.01s[K
[98972361]   batch    19/40434, avg_loss 1.5986E+01, penalty 6.8995E-08, cost 1.5986E+01, time   0.01s[K
[98972361]   batch    20/40434, avg_loss 1.5935E+01, penalty 6.5563E-08, cost 1.5935E+01, time   0.01s[K
[98972361]   batch    21/40434, avg_loss 1.6181E+01, penalty 6.5196E-08, cost 1.6181E+01, time   0.01s[K
[98972361]   batch    22/40434, avg_loss 1.5412E+01, penalty 6.2257E-08, cost 1.5412E+01, time   0.01s[K
[98972361]   batch    23/40434, avg_loss 1.6428E+01, penalty 6.9777E-08, cost 1.6428E+01, time   0.01s[K
[98972361]   batch    24/40434, avg_loss 1.6416E+01, penalty 7.0779E-08, cost 1.6416E+01, time   0.01s[K
[98972361]   batch    25/40434, avg_loss 1.6377E+01, penalty 7.0952E-08, cost 1.6377E+01, time   0.01s[K
[98972361]   batch    26/40434, avg_loss 1.6107E+01, penalty 7.0221E-08, cost 1.6107E+01, time   0.01s[K
[98972361]   batch    27/40434, avg_loss 1.5926E+01, penalty 7.0157E-08, cost 1.5926E+01, time   0.01s[K
[98972361]   batch    28/40434, avg_loss 1.6209E+01, penalty 7.4904E-08, cost 1.6209E+01, time   0.01s[K
[98972361]   batch    29/40434, avg_loss 1.6112E+01, penalty 7.0759E-08, cost 1.6112E+01, time   0.01s[K
[98972361]   batch    30/40434, avg_loss 1.6060E+01, penalty 6.9314E-08, cost 1.6060E+01, time   0.01s[K
[98972361]   batch    31/40434, avg_loss 1.5837E+01, penalty 6.3481E-08, cost 1.5837E+01, time   0.01s[K
[98972361]   batch    32/40434, avg_loss 1.6395E+01, penalty 7.2330E-08, cost 1.6395E+01, time   0.01s[K
[98972361]   batch    33/40434, avg_loss 1.5887E+01, penalty 6.3639E-08, cost 1.5887E+01, time   0.01s[K
[98972361]   batch    34/40434, avg_loss 1.6140E+01, penalty 7.0804E-08, cost 1.6140E+01, time   0.01s[K
[98972361]   batch    35/40434, avg_loss 1.5756E+01, penalty 6.4263E-08, cost 1.5756E+01, time   0.01s[K
[98972361]   batch    36/40434, avg_loss 1.5700E+01, penalty 6.0047E-08, cost 1.5700E+01, time   0.01s[K
