[5b691437]   size: 5175638
[5b691437]   split: train
[5b691437]   timestamp: 1693685678.7132297
[5b691437]   type: negative_sampling
[5b691437] Finished epoch 21.
[5b691437] Saving checkpoint to kge/local/experiments/20230810-154246-relational_tucker3_selfloops/00058/checkpoint_00021.pt...
[5b691437] Removing old checkpoint kge/local/experiments/20230810-154246-relational_tucker3_selfloops/00058/checkpoint_00005.pt...
[5b691437] Starting epoch 22...

[5b691437]   batch     0/40434, avg_loss 3.0803E+02, penalty 1.3649E+02, cost 4.4452E+02, time   0.08s[K
[5b691437]   batch     1/40434, avg_loss 3.2210E+02, penalty 1.3649E+02, cost 4.5859E+02, time   0.07s[K
[5b691437]   batch     2/40434, avg_loss 2.9630E+02, penalty 1.3649E+02, cost 4.3278E+02, time   0.07s[K
[5b691437]   batch     3/40434, avg_loss 3.6600E+02, penalty 1.3649E+02, cost 5.0249E+02, time   0.07s[K
[5b691437]   batch     4/40434, avg_loss 2.5272E+02, penalty 1.3649E+02, cost 3.8920E+02, time   0.07s[K
[5b691437]   batch     5/40434, avg_loss 2.2736E+02, penalty 1.3649E+02, cost 3.6385E+02, time   0.07s[K
[5b691437]   batch     6/40434, avg_loss 2.5184E+02, penalty 1.3649E+02, cost 3.8832E+02, time   0.07s[K
[5b691437]   batch     7/40434, avg_loss 2.6491E+02, penalty 1.3649E+02, cost 4.0140E+02, time   0.07s[K
[5b691437]   batch     8/40434, avg_loss 3.3037E+02, penalty 1.3649E+02, cost 4.6686E+02, time   0.07s[K
[5b691437]   batch     9/40434, avg_loss 2.5301E+02, penalty 1.3649E+02, cost 3.8950E+02, time   0.07s[K
[5b691437]   batch    10/40434, avg_loss 3.2660E+02, penalty 1.3649E+02, cost 4.6308E+02, time   0.07s[K
[5b691437]   batch    11/40434, avg_loss 2.6067E+02, penalty 1.3649E+02, cost 3.9715E+02, time   0.07s[K
[5b691437]   batch    12/40434, avg_loss 4.2589E+02, penalty 1.3649E+02, cost 5.6238E+02, time   0.07s[K
[5b691437]   batch    13/40434, avg_loss 2.9872E+02, penalty 1.3649E+02, cost 4.3520E+02, time   0.07s[K
[5b691437]   batch    14/40434, avg_loss 3.2766E+02, penalty 1.3649E+02, cost 4.6415E+02, time   0.07s[K
[5b691437]   batch    15/40434, avg_loss 3.6357E+02, penalty 1.3649E+02, cost 5.0005E+02, time   0.07s[K
[5b691437]   batch    16/40434, avg_loss 2.2678E+02, penalty 1.3649E+02, cost 3.6327E+02, time   0.07s[K
[5b691437]   batch    17/40434, avg_loss 2.3427E+02, penalty 1.3649E+02, cost 3.7075E+02, time   0.07s[K
[5b691437]   batch    18/40434, avg_loss 2.8788E+02, penalty 1.3649E+02, cost 4.2436E+02, time   0.07s[K
[5b691437]   batch    19/40434, avg_loss 2.7141E+02, penalty 1.3649E+02, cost 4.0790E+02, time   0.07s[K
[5b691437]   batch    20/40434, avg_loss 2.5519E+02, penalty 1.3649E+02, cost 3.9168E+02, time   0.07s[K
