[ce3179e0]   size: 5175638
[ce3179e0]   split: train
[ce3179e0]   timestamp: 1694252356.9043162
[ce3179e0]   type: negative_sampling
[ce3179e0] Finished epoch 39.
[ce3179e0] Saving checkpoint to kge/local/experiments/20230811-091358-relational_tucker3_non-naive/00058/checkpoint_00039.pt...
[ce3179e0] Removing old checkpoint kge/local/experiments/20230811-091358-relational_tucker3_non-naive/00058/checkpoint_00038.pt...
[ce3179e0] Starting epoch 40...

[ce3179e0]   batch     0/40434, avg_loss 6.8638E+02, penalty 2.4040E-03, cost 6.8638E+02, time   0.08s[K
[ce3179e0]   batch     1/40434, avg_loss 9.5742E+02, penalty 2.4040E-03, cost 9.5742E+02, time   0.08s[K
[ce3179e0]   batch     2/40434, avg_loss 1.3212E+03, penalty 2.4040E-03, cost 1.3212E+03, time   0.07s[K
[ce3179e0]   batch     3/40434, avg_loss 9.2067E+02, penalty 2.4040E-03, cost 9.2067E+02, time   0.07s[K
[ce3179e0]   batch     4/40434, avg_loss 5.8509E+02, penalty 2.4040E-03, cost 5.8509E+02, time   0.07s[K
[ce3179e0]   batch     5/40434, avg_loss 1.0379E+03, penalty 2.4040E-03, cost 1.0379E+03, time   0.07s[K
[ce3179e0]   batch     6/40434, avg_loss 1.1899E+03, penalty 2.4040E-03, cost 1.1899E+03, time   0.07s[K
[ce3179e0]   batch     7/40434, avg_loss 1.3050E+03, penalty 2.4040E-03, cost 1.3050E+03, time   0.07s[K
[ce3179e0]   batch     8/40434, avg_loss 1.2360E+03, penalty 2.4040E-03, cost 1.2360E+03, time   0.07s[K
[ce3179e0]   batch     9/40434, avg_loss 1.2728E+03, penalty 2.4040E-03, cost 1.2728E+03, time   0.07s[K
[ce3179e0]   batch    10/40434, avg_loss 9.3810E+02, penalty 2.4040E-03, cost 9.3810E+02, time   0.07s[K
[ce3179e0]   batch    11/40434, avg_loss 7.6064E+02, penalty 2.4040E-03, cost 7.6064E+02, time   0.07s[K
[ce3179e0]   batch    12/40434, avg_loss 1.1440E+03, penalty 2.4040E-03, cost 1.1440E+03, time   0.07s[K
[ce3179e0]   batch    13/40434, avg_loss 1.5216E+03, penalty 2.4040E-03, cost 1.5216E+03, time   0.07s[K
[ce3179e0]   batch    14/40434, avg_loss 1.2777E+03, penalty 2.4040E-03, cost 1.2777E+03, time   0.07s[K
[ce3179e0]   batch    15/40434, avg_loss 1.3335E+03, penalty 2.4040E-03, cost 1.3335E+03, time   0.07s[K
[ce3179e0]   batch    16/40434, avg_loss 7.7985E+02, penalty 2.4040E-03, cost 7.7985E+02, time   0.07s[K
[ce3179e0]   batch    17/40434, avg_loss 6.9228E+02, penalty 2.4040E-03, cost 6.9228E+02, time   0.07s[K
[ce3179e0]   batch    18/40434, avg_loss 7.0339E+02, penalty 2.4040E-03, cost 7.0339E+02, time   0.07s[K
[ce3179e0]   batch    19/40434, avg_loss 1.3930E+03, penalty 2.4040E-03, cost 1.3930E+03, time   0.07s[K
[ce3179e0]   batch    20/40434, avg_loss 8.3009E+02, penalty 2.4040E-03, cost 8.3010E+02, time   0.07s[K
[ce3179e0]   batch    21/40434, avg_loss 7.2630E+02, penalty 2.4040E-03, cost 7.2630E+02, time   0.07s[K
[ce3179e0]   batch    22/40434, avg_loss 8.0989E+02, penalty 2.4040E-03, cost 8.0989E+02, time   0.07s[K
[ce3179e0]   batch    23/40434, avg_loss 8.9302E+02, penalty 2.4040E-03, cost 8.9302E+02, time   0.07s[K
[ce3179e0]   batch    24/40434, avg_loss 8.5285E+02, penalty 2.4040E-03, cost 8.5285E+02, time   0.07s[K
[ce3179e0]   batch    25/40434, avg_loss 8.7598E+02, penalty 2.4040E-03, cost 8.7598E+02, time   0.07s[K
[ce3179e0]   batch    26/40434, avg_loss 1.1751E+03, penalty 2.4040E-03, cost 1.1752E+03, time   0.07s[K
[ce3179e0]   batch    27/40434, avg_loss 1.1919E+03, penalty 2.4040E-03, cost 1.1919E+03, time   0.07s[K
[ce3179e0]   batch    28/40434, avg_loss 8.7938E+02, penalty 2.4040E-03, cost 8.7938E+02, time   0.07s[K
[ce3179e0]   batch    29/40434, avg_loss 1.4000E+03, penalty 2.4040E-03, cost 1.4000E+03, time   0.07s[K
[ce3179e0]   batch    30/40434, avg_loss 1.3506E+03, penalty 2.4040E-03, cost 1.3506E+03, time   0.07s[K
[ce3179e0]   batch    31/40434, avg_loss 1.1311E+03, penalty 2.4040E-03, cost 1.1312E+03, time   0.07s[K
[ce3179e0]   batch    32/40434, avg_loss 8.4867E+02, penalty 2.4040E-03, cost 8.4867E+02, time   0.07s[K
[ce3179e0]   batch    33/40434, avg_loss 9.9013E+02, penalty 2.4040E-03, cost 9.9013E+02, time   0.07s[K
[ce3179e0]   batch    34/40434, avg_loss 7.4703E+02, penalty 2.4040E-03, cost 7.4704E+02, time   0.07s[K
[ce3179e0]   batch    35/40434, avg_loss 1.2278E+03, penalty 2.4040E-03, cost 1.2278E+03, time   0.07s[K
[ce3179e0]   batch    36/40434, avg_loss 7.6197E+02, penalty 2.4040E-03, cost 7.6197E+02, time   0.07s[K
[ce3179e0]   batch    37/40434, avg_loss 7.6036E+02, penalty 2.4040E-03, cost 7.6036E+02, time   0.07s[K
[ce3179e0]   batch    38/40434, avg_loss 6.3051E+02, penalty 2.4040E-03, cost 6.3051E+02, time   0.07s[K
[ce3179e0]   batch    39/40434, avg_loss 7.4861E+02, penalty 2.4040E-03, cost 7.4861E+02, time   0.07s[K
[ce3179e0]   batch    40/40434, avg_loss 1.1935E+03, penalty 2.4040E-03, cost 1.1935E+03, time   0.07s[K
[ce3179e0]   batch    41/40434, avg_loss 1.2431E+03, penalty 2.4040E-03, cost 1.2431E+03, time   0.07s[K
[ce3179e0]   batch    42/40434, avg_loss 1.2799E+03, penalty 2.4040E-03, cost 1.2799E+03, time   0.07s[K
[ce3179e0]   batch    43/40434, avg_loss 8.0117E+02, penalty 2.4040E-03, cost 8.0117E+02, time   0.07s[K
[ce3179e0]   batch    44/40434, avg_loss 8.3088E+02, penalty 2.4040E-03, cost 8.3088E+02, time   0.07s[K
[ce3179e0]   batch    45/40434, avg_loss 9.6276E+02, penalty 2.4040E-03, cost 9.6277E+02, time   0.07s[K
[ce3179e0]   batch    46/40434, avg_loss 3.6203E+02, penalty 2.4040E-03, cost 3.6203E+02, time   0.07s[K
[ce3179e0]   batch    47/40434, avg_loss 1.0230E+03, penalty 2.4040E-03, cost 1.0230E+03, time   0.07s[K
[ce3179e0]   batch    48/40434, avg_loss 7.2297E+02, penalty 2.4040E-03, cost 7.2297E+02, time   0.07s[K
[ce3179e0]   batch    49/40434, avg_loss 1.0256E+03, penalty 2.4040E-03, cost 1.0256E+03, time   0.07s[K
[ce3179e0]   batch    50/40434, avg_loss 9.3041E+02, penalty 2.4040E-03, cost 9.3042E+02, time   0.07s[K
[ce3179e0]   batch    51/40434, avg_loss 4.7664E+02, penalty 2.4040E-03, cost 4.7664E+02, time   0.07s[K
[ce3179e0]   batch    52/40434, avg_loss 1.3931E+03, penalty 2.4040E-03, cost 1.3931E+03, time   0.07s[K
[ce3179e0]   batch    53/40434, avg_loss 1.7010E+03, penalty 2.4040E-03, cost 1.7010E+03, time   0.07s[K
[ce3179e0]   batch    54/40434, avg_loss 1.0559E+03, penalty 2.4040E-03, cost 1.0559E+03, time   0.07s[K
[ce3179e0]   batch    55/40434, avg_loss 1.2106E+03, penalty 2.4040E-03, cost 1.2106E+03, time   0.07s[K
[ce3179e0]   batch    56/40434, avg_loss 1.0305E+03, penalty 2.4040E-03, cost 1.0305E+03, time   0.07s[K
[ce3179e0]   batch    57/40434, avg_loss 8.6813E+02, penalty 2.4040E-03, cost 8.6813E+02, time   0.07s[K
[ce3179e0]   batch    58/40434, avg_loss 1.1044E+03, penalty 2.4040E-03, cost 1.1044E+03, time   0.07s[K
[ce3179e0]   batch    59/40434, avg_loss 1.4261E+03, penalty 2.4040E-03, cost 1.4261E+03, time   0.07s[K
[ce3179e0]   batch    60/40434, avg_loss 7.0632E+02, penalty 2.4040E-03, cost 7.0632E+02, time   0.07s[K
[ce3179e0]   batch    61/40434, avg_loss 1.1552E+03, penalty 2.4040E-03, cost 1.1552E+03, time   0.07s[K
[ce3179e0]   batch    62/40434, avg_loss 6.1448E+02, penalty 2.4040E-03, cost 6.1448E+02, time   0.07s[K
[ce3179e0]   batch    63/40434, avg_loss 6.5578E+02, penalty 2.4040E-03, cost 6.5578E+02, time   0.07s[K
[ce3179e0]   batch    64/40434, avg_loss 1.3906E+03, penalty 2.4040E-03, cost 1.3906E+03, time   0.07s[K
[ce3179e0]   batch    65/40434, avg_loss 8.2581E+02, penalty 2.4040E-03, cost 8.2582E+02, time   0.07s[K
[ce3179e0]   batch    66/40434, avg_loss 6.6219E+02, penalty 2.4040E-03, cost 6.6220E+02, time   0.07s[K
[ce3179e0]   batch    67/40434, avg_loss 1.2273E+03, penalty 2.4040E-03, cost 1.2273E+03, time   0.07s[K
[ce3179e0]   batch    68/40434, avg_loss 7.3847E+02, penalty 2.4040E-03, cost 7.3848E+02, time   0.07s[K
[ce3179e0]   batch    69/40434, avg_loss 7.2431E+02, penalty 2.4040E-03, cost 7.2431E+02, time   0.07s[K
[ce3179e0]   batch    70/40434, avg_loss 1.3727E+03, penalty 2.4040E-03, cost 1.3727E+03, time   0.07s[K
[ce3179e0]   batch    71/40434, avg_loss 6.2164E+02, penalty 2.4040E-03, cost 6.2165E+02, time   0.07s[K
[ce3179e0]   batch    72/40434, avg_loss 1.1891E+03, penalty 2.4040E-03, cost 1.1891E+03, time   0.07s[K
[ce3179e0]   batch    73/40434, avg_loss 7.6647E+02, penalty 2.4040E-03, cost 7.6648E+02, time   0.07s[K
[ce3179e0]   batch    74/40434, avg_loss 1.0599E+03, penalty 2.4040E-03, cost 1.0599E+03, time   0.07s[K
[ce3179e0]   batch    75/40434, avg_loss 1.1863E+03, penalty 2.4040E-03, cost 1.1863E+03, time   0.07s[K
[ce3179e0]   batch    76/40434, avg_loss 6.9964E+02, penalty 2.4040E-03, cost 6.9964E+02, time   0.07s[K
